[ 84451][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.542717 pos=0.979350 (0.580593%) vel=-0.937622 naive=35800.000000 acc=-19.899161, speed=58.059334, timeOffset=-12.931311
[ 84520][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.654028 pos=0.773772 (0.607862%) vel=-2.557894 naive=17060.000000 acc=-9.213275, speed=60.786186, timeOffset=-12.671045
[ 84589][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.770695 pos=0.438057 (0.607862%) vel=-2.979443 naive=-12580.000000 acc=1.986699, speed=60.786186, timeOffset=-12.671045
[ 84658][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.887234 pos=0.129651 (0.607862%) vel=-2.096008 naive=-42140.000000 acc=13.174465, speed=60.786186, timeOffset=-12.671045
[ 84727][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.003773 pos=0.000170 (0.607862%) vel=0.089874 naive=-57280.000000 acc=23.637768, speed=60.786186, timeOffset=-12.671045
[ 84796][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.120312 pos=0.145837 (0.632525%) vel=2.192695 naive=-47900.000000 acc=12.450002, speed=63.252491, timeOffset=-12.796932
[ 84865][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.241580 pos=0.474750 (0.632525%) vel=2.996597 naive=-22880.000000 acc=0.808310, speed=63.252491, timeOffset=-12.796932
[ 84934][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.362848 pos=0.815550 (0.632525%) vel=2.388739 naive=5920.000000 acc=-10.833383, speed=63.252491, timeOffset=-12.796932
[ 85003][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.484115 pos=0.997036 (0.650238%) vel=0.369120 naive=22200.000000 acc=-22.475075, speed=65.023819, timeOffset=-13.005335
[ 85072][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.608779 pos=0.878600 (0.650238%) vel=-2.042718 naive=12900.000000 acc=-13.557217, speed=65.023819, timeOffset=-13.005335
[ 85141][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.733443 pos=0.549600 (0.650238%) vel=-2.986841 naive=-13840.000000 acc=-1.589510, speed=65.023819, timeOffset=-13.005335
[ 85210][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.858106 pos=0.195896 (0.650238%) vel=-2.439026 naive=-45460.000000 acc=10.378198, speed=65.023819, timeOffset=-13.005335
[ 85279][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.982770 pos=0.003481 (0.667238%) vel=-0.399273 naive=-64280.000000 acc=22.345906, speed=66.723839, timeOffset=-13.313492
[ 85348][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.110693 pos=0.125334 (0.667238%) vel=2.068488 naive=-56040.000000 acc=13.373496, speed=66.723839, timeOffset=-13.313492
[ 85417][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.238616 pos=0.465871 (0.667238%) vel=2.993779 naive=-28440.000000 acc=1.092898, speed=66.723839, timeOffset=-13.313492
[ 85486][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.365403 pos=0.821618 (0.688820%) vel=2.360745 naive=3360.000000 acc=-11.078671, speed=68.882050, timeOffset=-12.883094
[ 85555][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.497463 pos=0.999923 (0.688820%) vel=0.060569 naive=21220.000000 acc=-23.756489, speed=68.882050, timeOffset=-12.883094
[ 85624][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.629524 pos=0.833450 (0.688820%) vel=-2.303306 naive=10240.000000 acc=-11.565692, speed=68.882050, timeOffset=-12.883094
[ 85693][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.761585 pos=0.465271 (0.688820%) vel=-2.993558 naive=-17400.000000 acc=1.112127, speed=68.882050, timeOffset=-12.883094
[ 85762][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.894578 pos=0.114619 (0.707144%) vel=-1.996665 naive=-46420.000000 acc=13.879491, speed=70.714371, timeOffset=-11.957352
[ 85831][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.030051 pos=0.010403 (0.707144%) vel=0.677879 naive=-56280.000000 acc=21.115095, speed=70.714371, timeOffset=-11.957352
[ 85900][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.165625 pos=0.256485 (0.707144%) vel=2.658278 naive=-36120.000000 acc=8.100035, speed=70.714371, timeOffset=-11.957352
[ 85969][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.301198 pos=0.651447 (0.724666%) vel=2.874180 naive=-3640.000000 acc=-4.915025, speed=72.466576, timeOffset=-12.148171
[ 86038][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.440131 pos=0.960422 (0.724666%) vel=1.264809 naive=24040.000000 acc=-18.252580, speed=72.466576, timeOffset=-12.148171
[ 86107][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.579064 pos=0.932895 (0.724666%) vel=-1.597481 naive=24740.000000 acc=-16.409865, speed=72.466576, timeOffset=-12.148171
[ 86176][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.717997 pos=0.595485 (0.748389%) vel=-2.950838 naive=-3280.000000 acc=-3.072309, speed=74.838943, timeOffset=-12.331221
[ 86245][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.861478 pos=0.187732 (0.748389%) vel=-2.403488 naive=-40120.000000 acc=10.701882, speed=74.838943, timeOffset=-12.331221
[ 86315][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.007039 pos=0.000589 (0.748389%) vel=0.166547 naive=-59660.000000 acc=23.324300, speed=74.838943, timeOffset=-12.331221
[ 86384][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.150520 pos=0.217311 (0.748389%) vel=2.524976 naive=-45560.000000 acc=9.550108, speed=74.838943, timeOffset=-12.331221
[ 86453][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.294001 pos=0.630640 (0.772627%) vel=2.907068 naive=-14200.000000 acc=-4.224084, speed=77.262726, timeOffset=-12.413820
