frame,time_s,position_mm,raw_x,raw_y,points_tracked
402,31.0363,260.85,1736,492,1
403,31.1024,260.75,1736,494,1
404,31.1675,261.01,1737,492,1
405,31.2332,260.75,1736,494,1
406,31.3022,261.01,1737,492,1
407,31.3978,260.8,1736,493,1
408,31.4724,260.96,1737,493,1
409,31.5353,260.8,1736,493,1
410,31.6033,260.96,1737,493,1
411,31.6709,260.64,1735,493,1
412,31.7348,260.96,1737,493,1
413,31.7986,260.8,1736,493,1
414,31.8658,260.8,1736,493,1
415,31.9352,260.8,1736,493,1
416,32.0013,260.8,1736,493,1
417,32.0702,260.8,1736,493,1
418,32.1444,260.8,1736,493,1
419,32.2137,260.96,1737,493,1
420,32.3246,260.8,1736,493,1
421,32.3895,260.8,1736,493,1
422,32.4572,260.96,1737,493,1
423,32.5217,260.96,1737,493,1
424,32.6173,261.01,1737,492,1
425,32.6806,260.96,1737,493,1
426,32.7483,260.8,1736,493,1
427,32.814,260.96,1737,493,1
428,32.8774,261.01,1737,492,1
429,32.942,260.8,1736,493,1
430,33.0049,260.85,1736,492,1
431,33.1023,261.01,1737,492,1
432,33.174,260.27,1733,494,1
433,33.2395,261.01,1737,492,1
434,33.3045,260.91,1737,494,1
435,33.3696,261.01,1737,492,1
436,33.4435,260.75,1736,494,1
437,33.5113,260.85,1736,492,1
438,33.5755,260.75,1736,494,1
439,33.6736,261.01,1737,492,1
440,33.773,261.33,1739,492,1
441,33.8365,260.96,1737,493,1
442,33.9014,260.96,1737,493,1
443,33.969,260.96,1737,493,1
444,34.0395,260.96,1737,493,1
445,34.1028,260.96,1737,493,1
446,34.1746,260.8,1736,493,1
447,34.2399,260.96,1737,493,1
448,34.3081,260.8,1736,493,1
449,34.3776,260.96,1737,493,1
450,34.4437,260.8,1736,493,1
451,34.5409,260.96,1737,493,1
452,34.6389,260.96,1737,493,1
453,34.7356,260.8,1736,493,1
454,34.8106,260.8,1736,493,1
455,34.8758,260.96,1737,493,1
456,34.9396,260.96,1737,493,1
457,35.0042,260.8,1736,493,1
458,35.0759,260.96,1737,493,1
459,35.1402,260.8,1736,493,1
460,35.2096,260.8,1736,493,1
461,35.2757,260.8,1736,493,1
462,35.3803,260.8,1736,493,1
463,35.4786,260.96,1737,493,1
464,35.5444,260.8,1736,493,1
465,35.6407,260.8,1736,493,1
466,35.7043,260.96,1737,493,1
467,35.7762,260.8,1736,493,1
468,35.8732,260.8,1736,493,1
469,35.9536,260.96,1737,493,1
470,36.0183,260.8,1736,493,1
471,36.1129,260.85,1736,492,1
472,36.1799,260.8,1736,493,1
473,36.2426,261.01,1737,492,1
474,36.3085,260.91,1737,494,1
475,36.3768,260.96,1737,493,1
476,36.4424,260.96,1737,493,1
477,36.509,261.01,1737,492,1
478,36.5766,260.59,1735,494,1
479,36.6414,260.64,1735,493,1
480,36.7046,260.96,1737,493,1
481,36.7689,260.64,1735,493,1
482,36.8361,260.96,1737,493,1
483,36.9051,260.8,1736,493,1
484,36.9711,260.8,1736,493,1
485,37.0424,260.8,1736,493,1
486,37.1391,260.8,1736,493,1
487,37.2046,260.8,1736,493,1
488,37.2727,260.96,1737,493,1
489,37.3362,260.8,1736,493,1
490,37.4054,260.96,1737,493,1
491,37.4749,260.8,1736,493,1
492,37.54,260.8,1736,493,1
493,37.605,260.8,1736,493,1
494,37.6693,260.8,1736,493,1
495,37.7382,260.8,1736,493,1
496,37.8084,260.8,1736,493,1
497,37.8764,260.8,1736,493,1
498,37.9412,260.8,1736,493,1
499,38.0059,260.8,1736,493,1
500,38.0698,260.96,1737,493,1
501,38.1443,260.8,1736,493,1
502,38.2107,260.8,1736,493,1
503,38.2749,260.8,1736,493,1
504,38.3395,260.8,1736,493,1
505,38.41,260.8,1736,493,1
506,38.5034,260.64,1735,493,1
507,38.5698,260.8,1736,493,1
508,38.639,260.8,1736,493,1
509,38.7027,260.8,1736,493,1
510,38.7706,260.8,1736,493,1
511,38.8391,260.8,1736,493,1
512,38.9427,260.8,1736,493,1
513,39.009,260.8,1736,493,1
514,39.0788,260.8,1736,493,1
515,39.1415,260.96,1737,493,1
516,39.2062,260.96,1737,493,1
517,39.2713,260.96,1737,493,1
518,39.3383,260.8,1736,493,1
519,39.4037,260.8,1736,493,1
520,39.4689,260.64,1735,493,1
521,39.5359,260.64,1735,493,1
522,39.6067,260.96,1737,493,1
523,39.6715,260.96,1737,493,1
524,39.7384,260.96,1737,493,1
525,39.8066,260.8,1736,493,1
526,39.8877,260.8,1736,493,1
527,39.953,260.8,1736,493,1
528,40.0186,260.96,1737,493,1
529,40.1175,260.96,1737,493,1
530,40.1849,260.96,1737,493,1
531,40.2512,260.8,1736,493,1
532,40.318,260.96,1737,493,1
533,40.3831,260.96,1737,493,1
534,40.4882,260.96,1737,493,1
535,40.5786,260.8,1736,493,1
536,40.6521,260.96,1737,493,1
537,40.7533,260.96,1737,493,1
538,40.8477,260.85,1736,492,1
539,40.9519,260.96,1737,493,1
540,41.0167,260.85,1736,492,1
541,41.0829,260.75,1736,494,1
542,41.1512,260.85,1736,492,1
543,41.2153,260.22,1733,495,1
544,41.2808,261.01,1737,492,1
545,41.3457,260.91,1737,494,1
546,41.409,261.01,1737,492,1
547,41.4753,260.86,1737,495,1
548,41.5727,260.48,1734,493,1
549,41.6395,260.75,1736,494,1
550,41.7065,260.85,1736,492,1
551,41.7734,260.91,1737,494,1
552,41.8373,261.01,1737,492,1
553,41.9035,260.91,1737,494,1
554,41.9725,260.85,1736,492,1
555,42.0393,260.27,1733,494,1
556,42.1065,261.01,1737,492,1
557,42.1726,260.75,1736,494,1
558,42.2409,260.85,1736,492,1
559,42.3369,260.8,1736,493,1
560,42.4409,260.91,1737,494,1
561,42.5412,260.8,1736,493,1
562,42.6122,260.96,1737,493,1
563,42.6793,260.96,1737,493,1
564,42.7436,260.8,1736,493,1
565,42.8405,260.75,1736,494,1
566,42.9052,260.8,1736,493,1
567,42.9743,260.75,1736,494,1
568,43.0381,261.01,1737,492,1
569,43.1044,260.75,1736,494,1
570,43.1708,261.17,1738,492,1
571,43.2453,261.12,1738,493,1
572,43.3121,261.01,1737,492,1
573,43.4082,260.96,1737,493,1
574,43.4726,260.8,1736,493,1
575,43.5381,260.91,1737,494,1
576,43.6171,261.17,1738,492,1
577,43.6829,260.8,1736,493,1
578,43.7525,260.8,1736,493,1
579,43.8145,260.96,1737,493,1
580,43.8803,260.8,1736,493,1
581,43.9759,260.8,1736,493,1
582,44.0406,260.96,1737,493,1
583,44.1054,260.59,1735,494,1
584,44.1867,260.85,1736,492,1
585,44.2533,260.75,1736,494,1
586,44.3531,260.96,1737,493,1
587,44.4204,260.96,1737,493,1
588,44.5145,260.96,1737,493,1
589,44.6113,260.8,1736,493,1
590,44.6921,260.96,1737,493,1
591,44.7872,260.96,1737,493,1
592,44.8522,260.96,1737,493,1
593,44.9194,260.85,1736,492,1
594,45.0141,261.06,1737,491,1
595,45.1127,260.59,1735,494,1
596,45.2106,260.86,1737,495,1
597,45.3138,261.01,1737,492,1
598,45.4118,261.06,1737,491,1
599,45.5086,260.75,1736,494,1
600,45.5743,260.85,1736,492,1
601,45.6439,260.75,1736,494,1
602,45.7112,260.85,1736,492,1
603,45.7761,260.75,1736,494,1
604,45.8428,261.01,1737,492,1
605,45.9174,260.75,1736,494,1
606,45.9846,261.01,1737,492,1
607,46.0484,260.75,1736,494,1
